                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4427,                 7.8695,                 1.0159,                      0,                      0,                      0,                      0,                0.84845,                 7.3747,                0.97188,                0.00048,                0.00048,                0.00048
                      2,                 1.3688,                 5.4036,                 1.0532,                      0,                      0,                      0,                      0,                0.82315,                 6.2057,                0.94841,              0.0009606,              0.0009606,              0.0009606
                      3,                  1.315,                 4.1323,                 1.0627,                0.00333,                      1,                  0.995,                  0.796,                0.77388,                 3.4584,                 1.0758,              0.0014214,              0.0014214,              0.0014214
                      4,                 1.2307,                 3.4831,                 1.0361,                0.78268,                      1,                  0.995,                 0.8955,                0.80852,                 2.5953,                 1.0894,              0.0018624,              0.0018624,              0.0018624
                      5,                 1.2844,                 3.0023,                 1.0133,                0.94998,                      1,                  0.995,                 0.6965,                0.82862,                 1.4705,                 1.1067,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.2891,                 2.7227,                 1.0396,                0.96784,                      1,                  0.995,                 0.8955,                0.97553,                 1.3323,                 1.2075,               0.001802,               0.001802,               0.001802
                      7,                 1.2301,                 2.1999,                 1.0235,                0.97238,                      1,                  0.995,                 0.6965,                 1.2454,                 1.7717,                 1.2376,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1814,                 1.9648,                 1.0104,                0.96042,                      1,                  0.995,                 0.6965,                0.99836,                 1.0168,                 1.1509,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1751,                 1.7101,                0.99629,                0.95403,                      1,                  0.995,                  0.796,                0.95965,                 1.3565,                 1.0889,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1621,                  1.488,                0.99639,                0.96916,                      1,                  0.995,                 0.6965,                 0.7994,                0.78284,                 1.0506,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1052,                 1.2908,                0.97491,                0.96925,                      1,                  0.995,                 0.8955,                0.61966,                 0.6405,                 1.0277,               0.001604,               0.001604,               0.001604
                     12,                 1.1041,                 1.1991,                0.98492,                0.97014,                      1,                  0.995,                  0.796,                0.67766,                0.49583,                 1.0554,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1183,                 1.1266,                0.98481,                0.96919,                      1,                  0.995,                  0.796,                 1.0528,                0.46378,                 1.1432,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0574,                 1.0182,                0.96284,                0.97299,                      1,                  0.995,                  0.796,                0.77489,                0.46978,                 1.0338,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0439,                0.95613,                0.94003,                0.97172,                      1,                  0.995,                 0.8955,                0.68621,                0.38538,                  1.047,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.017,                 0.8569,                0.93383,                0.97062,                      1,                  0.995,                  0.796,                 1.0591,                 0.5193,                 1.1145,               0.001406,               0.001406,               0.001406
                     17,                 1.0292,                 0.7956,                0.96084,                0.97202,                      1,                  0.995,                  0.796,                0.94865,                0.57611,                 1.0647,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.0145,                0.78656,                  0.959,                0.97101,                      1,                  0.995,                  0.796,                0.88469,                0.81473,                 1.0716,              0.0013268,              0.0013268,              0.0013268
                     19,                0.99127,                0.73678,                0.94127,                 0.9711,                      1,                  0.995,                  0.796,                0.66474,                0.39014,                 1.0293,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.0022,                0.74092,                0.94226,                0.97123,                      1,                  0.995,                 0.8955,                0.65135,                0.48165,                 1.0367,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0064,                0.70288,                0.94377,                0.97209,                      1,                  0.995,                 0.8955,                0.66017,                0.35474,                 1.0243,               0.001208,               0.001208,               0.001208
                     22,                 0.9489,                 0.6781,                0.93261,                0.97327,                      1,                  0.995,                  0.796,                0.69492,                0.45343,                 1.0527,              0.0011684,              0.0011684,              0.0011684
                     23,                0.98249,                0.68398,                0.93201,                0.97292,                      1,                  0.995,                 0.6965,                 1.1266,                0.52667,                 1.0941,              0.0011288,              0.0011288,              0.0011288
                     24,                0.98528,                 0.6725,                0.92101,                0.97239,                      1,                  0.995,                  0.796,                0.97384,                0.47875,                 1.1171,              0.0010892,              0.0010892,              0.0010892
                     25,                0.94084,                0.64675,                0.91377,                0.97248,                      1,                  0.995,                 0.6965,                 1.1073,                0.60291,                 1.0919,              0.0010496,              0.0010496,              0.0010496
